"","rowlabel","split","sex","yrsarea","resyrago","work2","tenure1","livharm1","agegrp7","ethgrp2a","educat3","rural2","edeprivex","wdeprivex","IndivWgtx","cause2m","walkdark","walkday","homealon","wburgl","wmugged","wcarstol","wfromcar","wraped","wattack","wraceatt","worryx","bcsvictim","rubbcomm","vandcomm","poorhou","antisocx"
"1",137068050,"A (Experience of the police)","Female",7,NA,1,2,3,"45-54",1,"Degree or diploma","Urban",2,NA,0.543482959270477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,2.06543946266174
"2",147461190,"C (Crime preventing)","Female",6,NA,2,1,1,"55-64",1,"Degree or diploma","Rural",4,NA,1.21283793449402,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.13190197944641,0,4,4,4,NA
"3",137116250,"A (Experience of the police)","Female",7,2,2,4,6,"55-64",1,"Degree or diploma","Urban",1,NA,0.569611310958862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,-0.235942155122757
"4",147354190,"C (Crime preventing)","Female",7,NA,1,2,1,"55-64",1,"O level/GCSE","Urban",1,NA,0.994296252727509,NA,NA,NA,NA,"Fairly Worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.257573813199997,1,4,4,4,NA
"5",137061230,"C (Crime preventing)","Female",7,NA,2,4,6,"65-74",1,"None","Rural",3,NA,0.410276591777802,NA,NA,NA,NA,"Fairly Worried","Fairly Worried",NA,NA,"Fairly Worried","Fairly Worried","Not very worried",1.18415200710297,0,3,3,3,NA
"6",136898230,"C (Crime preventing)","Female",7,NA,2,1,1,"65-74",1,"O level/GCSE","Urban",2,NA,1.20282745361328,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.822691202163696,0,4,4,4,NA
"7",135507330,"A (Experience of the police)","Male",6,NA,1,4,1,"45-54",1,"None","Urban",1,NA,1.98890960216522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-1.21526670455933
"8",136450220,"B (Attitudes to the CJS)","Female",5,NA,1,1,1,"55-64",1,"Degree or diploma","Urban",5,NA,1.12460839748383,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"9",136111200,"D (Online security)","Male",7,NA,2,1,1,"55-64",1,"Degree or diploma","Rural",4,NA,0.714234352111816,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"10",136599250,"A (Experience of the police)","Male",7,NA,2,1,1,"75+",1,"Apprenticeship or A/AS level","Rural",5,NA,0.738865315914154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
