,Council_area,mortality16,mortality20,alc16
1,Aberdeen City,98.22968198,100.4266473,114.3175445
2,Aberdeenshire,82.27941176,85.10346193,48.14930436
3,Angus,88.82580645,90.40199613,53.70105697
4,Argyll and Bute,91.584,93.80993014,109.918225
5,City of Edinburgh,95.72864322,94.33866821,90.12982403
6,Clackmannanshire,103.9861111,101.144124,74.83733662
7,Dumfries and Galloway,92.42288557,94.25701622,66.91511986
8,Dundee City,110.9255319,113.5933652,100.3725059
9,East Ayrshire,105.5582822,106.5554051,117.8767787
10,East Dunbartonshire,79.03846154,79.09061189,58.68478482
11,East Lothian,89.71212121,88.85063722,66.57219959
12,East Renfrewshire,84.42622951,81.31354211,65.6555349
13,Falkirk,100.7616822,97.83412146,68.53496196
14,Fife,93.99797571,96.08259831,88.0777696
15,Glasgow City,126.6796247,NA,170.0259157
16,Highland,88.5,90.14639515,100.8861716
17,Inverclyde,110.0263158,109.8689723,145.4555562
18,Midlothian,93.33043478,94.52171516,78.14931889
19,Moray,90.92857143,89.50025795,66.3166432
20,Na h-Eileanan an Iar,100.75,93.48292015,120.1251996
21,North Ayrshire,102.8978495,103.5147247,132.5718287
22,North Lanarkshire,112.6957494,111.6077146,115.47362
23,Orkney Islands,83.48275862,83.40907103,205.28886
24,Perth and Kinross,84.49462366,83.42297161,60.77591025
25,Renfrewshire,104.2755556,106.4261098,143.3891688
26,Scottish Borders,85.63636364,88.51109059,78.7046461
27,Shetland Islands,91.43333333,92.25102996,108.5681288
28,South Ayrshire,96.92810458,95.4827236,112.4797541
29,South Lanarkshire,101.5220418,100.4190601,98.47955821
30,Stirling,91.42975207,90.97175338,62.73281593
31,West Dunbartonshire,115.9256198,112.6121087,135.9197705
32,West Lothian,96.75313808,93.95237813,99.58744208
