countrycode,country,year,democracy,polity,gdppc,enrl_gross,enrl_net,agri,slums,telephone,internet,tax,electricity,mobile,service,oil,natural,literacy,prim_compl,infant,hosp,tub,health_ex,ineq,unemploy,lifeexp,urban,un_continent_name,un_region_name,polity5,l.gdp,gdpgrowth
AFG,AFGHANISTAN,2015,0,-1,574.1841143,103.534523,NA,47.06999969,NA,0.319641044,8.26,7.585382331,71.5,57.27106807,53.2352935,0.001076378,0.495307093,NA,NA,53.2,0.5,189,10.10534763,NA,11.39,63.377,24.803,Asia,Southern Asia,-1,583.6560179,-9.471903600000019
AGO,ANGOLA,2015,0,-2,3748.320252,113.4779587,NA,51.15999985,NA,1.021808589,29,11.00201914,42,49.79322295,48.65988909,10.34477721,10.80155578,NA,NA,57.8,NA,366,2.60579467,NA,7.26,59.398,63.446,Africa,Middle Africa,-2,3843.198733,-94.87848100000019
ALB,ALBANIA,2015,1,9,4524.373086,105.5429764,94.17835,41.27999878,NA,7.843521202,56.9,18.51579605,99.98,117.6592183,46.28434792,1.337058538,1.621620436,NA,98.86158752,8.5,NA,17,4.89632177,3.1,17.19,78.025,57.434,Europe,Southern Europe,9,4413.296891,111.07619499999964
AND,ANDORRA,2015,1,NA,42150.68751,NA,NA,NA,NA,49.80066914,NA,NA,100,91.44351438,NA,NA,0,NA,NA,3.3,NA,5.9,6.23245335,NA,NA,NA,88.345,NA,NA,NA,40914.72852,1235.9589900000065
ARE,UNITED ARAB EMIRATES,2015,0,-8,40247.76452,111.5427628,93.73636,2.00999999,NA,24.38378909,90.5,0.057734024,100,193.7034838,55.36508545,13.12454356,14.05058311,93.22714233,103.5202026,6.7,1.1,0.78,3.58359146,NA,1.74,77.285,85.674,Asia,Western Asia,-8,38495.01711,1752.7474099999963
ARG,ARGENTINA,2015,1,9,10568.15781,111.3034134,99.49576,0.25999999,NA,23.38485831,68.04306411,12.33650694,99.81168365,143.566834,55.81490128,0.712016894,1.081226358,99.17996216,102.9737396,10.2,4.96,26,10.22933769,NA,7.61,76.068,91.503,Americas,South America,9,10398.69401,169.46380000000136
ARM,ARMENIA,2015,0,5,3923.708455,95.00364685,92.69541,35.33000183,NA,18.84655653,59.10083377,20.93122083,100,118.4217138,48.21266939,0,0.760031512,NA,94.59063721,12.8,4.2,50,10.1176281,3.4,18.26,74.467,63.085,Asia,Western Asia,5,3819.217787,104.49066799999991
ATG,ANTIGUA,2015,1,NA,13327.43445,104.9906235,94.16545,NA,NA,21.37528589,70,NA,100,188.1025159,69.88088344,0,0,98.94999695,92.55548096,6.8,3.61,4.3,5.27965546,NA,NA,76.483,25,Americas,Caribbean,NA,12976.33146,351.1029900000012
AUS,AUSTRALIA,2015,1,10,55079.89234,101.5999069,96.9821,2.640000105,NA,35.51655402,84.56051491,21.8654919,100,107.6778349,67.2907994,0.20609123,3.27865687,NA,NA,3.3,3.82,6,9.32331181,NA,6.05,82.4,85.701,Oceania,Australia and New Zealand,10,54679.41645,400.4758900000015
AUT,AUSTRIA,2015,1,10,47789.38502,101.9974823,88.59448,4.53000021,NA,41.59513105,83.94014193,26.82616742,100,155.2154711,62.8806356,0.032624759,0.134802777,NA,100.3737869,3,7.54,7.5,10.36746693,3,5.72,81.1902439,57.715,Europe,Western Europe,10,47842.74891,-53.36389000000054
